unicode,towncode,Male,Female,Age25,Age34,Age44,Age54,Age64,Age.L65,Popn
1,101,6878,5146,205,1345,2433,3381,2747,1913,12024
2,102,4735,3464,122,948,1681,2277,1831,1340,8199
3,103,5267,3881,162,1110,1899,2488,2063,1426,9148
4,104,3057,2576,171,797,1204,1384,1162,915,5633
5,105,4768,3618,148,1115,2087,2414,1736,886,8386
6,106,3760,2766,128,631,1382,1826,1383,1176,6526
7,107,3028,1963,127,868,1312,1309,819,556,4991
8,108,1782,1094,55,328,628,831,597,437,2876
9,109,2181,1301,72,408,958,975,551,518,3482
10,110,2790,2070,179,604,1329,1332,810,606,4860
11,111,3253,2579,112,901,1687,1644,927,561,5832
12,112,2803,1820,64,310,763,1121,867,1498,4623
13,113,3027,2130,105,649,1190,1770,1000,443,5157
14,114,2356,1706,56,495,1127,1309,674,401,4062
15,115,2057,1399,59,474,928,930,537,528,3456
16,116,1891,1272,62,626,961,772,474,268,3163
17,117,2645,1907,98,824,1250,1192,686,502,4552
18,118,2194,1626,88,381,980,1159,641,571,3820
19,119,1423,718,42,127,307,478,432,755,2141
20,120,842,406,12,62,130,288,249,507,1248
21,121,2561,1627,52,360,893,1134,800,949,4188
22,122,1122,484,14,123,270,343,331,525,1606
23,123,2204,1250,68,437,815,1016,588,530,3454
24,124,805,591,17,46,120,226,263,724,1396
25,125,1538,904,21,98,228,426,504,1165,2442
26,126,1366,754,22,119,274,373,401,931,2120
27,127,2013,981,46,207,575,758,570,838,2994
28,128,2034,1135,41,221,477,779,644,1007,3169
29,129,576,346,17,92,149,241,200,223,922
52,201,1203,892,42,181,442,550,433,447,2095
53,202,928,685,23,142,307,444,343,354,1613
54,203,1311,572,29,152,266,368,385,683,1883
55,204,1316,568,33,119,267,440,383,642,1884
56,205,1027,470,23,91,206,403,324,450,1497
57,206,1726,659,16,123,407,632,456,751,2385
58,207,1089,512,24,98,306,404,292,477,1601
59,208,1178,522,20,122,330,437,397,394,1700
60,209,1144,585,16,112,251,467,344,539,1729
61,210,1433,620,19,116,278,458,411,771,2053
62,211,910,372,14,125,286,360,235,262,1282
63,212,736,329,19,93,180,325,201,247,1065
64,301,4969,3669,163,1228,2330,2278,1476,1163,8638
65,302,4563,3281,165,1150,1913,2030,1405,1181,7844
66,303,2791,1604,56,437,903,1176,806,1017,4395
67,304,3143,1932,87,829,1156,1313,829,861,5075
68,305,3930,2248,171,1202,1901,1526,790,588,6178
69,306,2483,1164,74,461,839,1002,622,649,3647
70,307,3388,2472,257,1075,1460,1386,884,798,5860
71,308,3179,2237,102,667,1259,1427,1066,895,5416
72,309,2800,1700,77,466,850,1265,1021,821,4500
73,310,3317,2140,98,618,1206,1506,1133,896,5457
74,311,1990,737,36,258,476,680,481,796,2727
75,312,2529,1124,76,446,842,914,601,774,3653
76,313,1607,736,42,208,401,605,523,564,2343
77,401,2444,1206,73,728,1261,713,439,436,3650
78,402,1875,1027,51,303,786,694,483,585,2902
79,403,1846,691,24,129,311,596,604,873,2537
80,404,2529,1026,20,176,451,766,675,1467,3555
81,405,2231,1294,68,623,954,893,459,528,3525
82,406,1639,814,44,262,548,700,443,456,2453
83,407,1880,792,26,149,517,725,526,729,2672
84,408,1390,444,21,77,222,384,358,772,1834
85,409,1173,442,8,66,172,366,277,726,1615
86,410,1371,570,16,198,388,556,323,460,1941
87,411,1118,403,236,62,102,242,252,627,1521
88,412,1104,556,41,193,325,418,349,334,1660
89,413,586,286,16,75,131,238,211,201,872
119,501,1526,911,62,174,448,614,542,597,2437
120,502,1272,603,32,115,268,443,381,636,1875
121,503,983,401,14,55,144,283,316,572,1384
122,504,1657,914,44,380,683,604,423,437,2571
123,505,1581,838,50,250,486,580,508,545,2419
124,506,1044,465,24,91,226,312,285,571,1509
125,507,622,193,7,17,54,174,228,335,815
126,508,657,250,8,22,81,221,176,399,907
127,509,1121,568,20,89,237,453,344,546,1689
128,510,1118,477,19,77,194,362,324,619,1595
129,511,1044,485,15,66,159,311,325,653,1529
130,512,758,326,9,39,104,266,261,405,1084
131,513,960,424,10,76,200,368,300,430,1384
132,514,836,301,8,19,79,205,203,623,1137
133,515,1039,416,15,81,203,398,317,441,1455
134,516,1148,366,16,42,156,314,331,655,1514
135,517,787,286,9,19,55,168,217,605,1073
136,518,682,297,14,66,158,256,184,301,979
98,601,2430,1399,76,359,639,1006,856,893,3829
99,602,1661,768,22,119,330,621,570,767,2429
100,603,1763,783,61,183,415,651,578,658,2546
101,604,2573,1047,44,327,638,877,780,954,3620
102,605,2472,1183,194,475,910,844,644,588,3655
103,606,2487,1037,50,411,802,993,712,556,3524
104,607,1972,815,27,199,414,664,719,764,2787
105,608,1838,827,49,264,471,747,576,558,2665
106,609,2485,1737,78,606,1011,1186,727,614,4222
107,610,2230,1180,50,360,905,1072,591,432,3410
108,611,1886,760,15,145,351,579,606,950,2646
109,612,1635,773,14,156,332,613,543,750,2408
110,613,2250,908,31,248,562,871,714,732,3158
111,614,2167,744,22,153,454,713,578,991,2911
112,615,2189,1138,62,358,722,950,690,545,3327
113,616,2241,987,48,326,608,941,696,609,3228
114,617,2209,853,47,360,706,891,596,462,3062
115,618,1925,911,80,265,512,769,609,601,2836
116,619,2521,1630,159,503,874,1190,857,568,4151
117,620,2567,1563,107,504,954,1275,815,475,4130
118,621,2085,958,46,232,524,805,661,775,3043
137,701,2981,1716,128,480,918,1176,994,1001,4697
138,702,2148,866,73,342,654,772,555,618,3014
139,703,1910,877,59,310,537,747,590,544,2787
140,704,992,279,15,116,262,384,227,267,1271
141,705,1438,527,31,216,359,523,363,473,1965
142,706,1407,494,48,133,275,475,406,564,1901
143,707,1214,472,43,153,278,488,307,417,1686
144,708,1519,628,36,207,360,598,492,454,2147
145,709,1253,419,18,86,235,388,374,571,1672
146,710,2121,1125,48,255,592,905,722,724,3246
147,711,1653,696,39,197,487,676,437,513,2349
148,712,1448,660,20,127,314,550,476,621,2108
149,713,1737,699,53,161,416,725,504,577,2436
150,714,1202,328,26,96,247,379,324,458,1530
151,715,1306,557,19,142,373,493,388,448,1863
152,716,1134,467,20,121,268,433,389,370,1601
153,717,1710,702,36,149,454,645,521,607,2412
154,718,1449,605,10,92,222,434,473,823,2054
155,719,1376,791,45,169,338,565,506,544,2167
156,720,1377,571,25,91,244,443,441,704,1948
157,721,1296,424,9,104,265,412,368,562,1720
158,722,1319,541,26,118,280,412,429,595,1860
159,723,1464,588,29,105,179,343,408,988,2052
160,724,1061,367,8,59,101,185,354,721,1428
161,725,774,277,8,37,84,188,260,474,1051
162,726,1225,453,12,74,174,300,405,713,1678
163,801,2105,1260,101,283,608,909,681,783,3365
164,802,1809,1000,44,153,424,735,681,772,2809
165,803,1684,880,45,187,452,648,604,628,2564
166,804,2128,1029,31,153,429,745,746,1053,3157
167,805,1041,416,17,121,234,297,273,515,1457
168,806,1459,526,21,97,248,470,442,707,1985
169,807,1507,507,12,73,212,496,431,790,2014
170,808,1441,564,10,78,212,429,420,856,2005
171,809,1206,490,25,61,206,354,387,663,1696
172,810,1550,699,9,65,256,536,509,874,2249
173,811,1548,796,14,82,245,554,543,906,2344
174,812,1805,752,33,175,458,732,528,631,2557
175,813,1287,656,38,127,352,523,471,432,1943
176,901,2155,1285,89,329,704,940,698,680,3440
177,902,1668,889,30,188,437,644,539,719,2557
178,903,1702,940,68,230,551,622,515,656,2642
179,904,1269,574,13,87,259,427,453,604,1843
180,905,1108,436,18,103,173,309,386,555,1544
181,906,1620,887,36,151,393,565,551,811,2507
182,907,1950,697,22,124,349,580,596,976,2647
183,908,1280,530,19,75,224,311,405,776,1810
184,909,1373,566,14,113,233,421,500,658,1939
185,910,1283,583,14,110,242,425,436,639,1866
186,911,1367,484,16,76,185,377,429,768,1851
187,912,1025,462,7,80,182,301,371,546,1487
188,913,1181,546,24,201,379,372,336,415,1727
189,914,1111,495,13,52,186,312,391,652,1606
190,915,1041,415,15,77,159,305,352,548,1456
191,916,973,438,13,95,190,304,286,523,1411
192,917,1471,632,19,72,212,418,519,863,2103
193,918,1157,581,16,72,190,317,383,760,1738
194,919,1255,475,19,79,200,385,372,675,1730
195,920,833,397,9,50,106,218,264,583,1230
273,1001,1144,475,32,120,380,398,299,390,1619
274,1002,1151,552,39,109,273,398,332,552,1703
275,1003,1089,505,18,79,204,364,359,570,1594
276,1004,1329,741,23,95,298,503,449,702,2070
277,1005,1902,874,68,232,582,780,565,549,2776
278,1006,1202,446,6,41,193,326,370,712,1648
279,1007,656,260,11,43,163,218,161,320,916
280,1008,1045,430,8,50,114,292,310,701,1475
281,1009,845,341,15,51,112,214,229,565,1186
282,1010,845,359,4,30,88,211,276,595,1204
283,1011,764,257,8,22,77,158,231,525,1021
284,1012,803,468,23,87,231,322,270,338,1271
285,1013,1440,577,20,138,294,610,456,499,2017
286,1014,849,359,14,55,121,299,328,391,1208
287,1015,1876,562,13,87,281,548,568,941,2438
288,1016,1128,398,17,74,243,356,355,481,1526
289,1017,482,200,12,38,76,129,200,227,682
290,1018,1042,485,23,123,261,416,305,399,1527
202,1101,1316,821,32,176,374,590,468,497,2137
203,1102,1060,588,15,78,230,374,363,588,1648
204,1103,1127,429,18,48,158,360,299,673,1556
205,1104,991,463,28,76,192,356,325,477,1454
206,1105,1037,435,13,53,120,267,335,684,1472
207,1106,1247,529,11,58,166,394,396,751,1776
208,1107,1263,597,24,90,262,454,396,634,1860
209,1108,1218,465,7,62,213,409,380,612,1683
210,1109,1568,672,13,105,332,600,524,666,2240
211,1110,1389,689,17,129,356,540,452,584,2078
212,1111,1116,448,10,57,195,293,384,625,1564
213,1112,897,496,19,93,260,381,313,327,1393
214,1113,983,526,16,85,162,378,337,531,1509
215,1114,1126,463,11,83,246,439,325,485,1589
216,1115,1474,715,17,105,302,466,439,860,2189
217,1116,1218,591,10,84,200,363,368,784,1809
218,1117,899,400,11,101,220,307,246,414,1299
219,1118,953,448,14,95,265,371,324,332,1401
220,1119,1119,552,19,169,349,386,340,408,1671
221,1120,1044,492,35,146,252,437,360,306,1536
222,1121,1004,417,10,122,217,386,304,382,1421
223,1122,940,359,15,61,189,309,248,477,1299
224,1123,1439,633,15,79,254,473,502,749,2072
225,1124,953,332,5,19,102,268,318,573,1285
226,1125,973,312,6,33,88,271,337,550,1285
227,1126,942,397,6,36,84,259,288,666,1339
228,1127,1375,753,52,262,412,546,468,388,2128
229,1128,1177,666,24,188,364,550,423,294,1843
230,1129,1329,510,11,99,228,482,444,575,1839
231,1130,651,253,4,22,64,148,176,490,904
232,1131,3488,2197,148,777,1407,1562,1003,788,5685
244,1201,4873,3658,145,990,1974,2464,1835,1123,8531
245,1202,1303,670,28,217,390,535,423,380,1973
246,1203,2016,1105,70,336,658,916,622,519,3121
247,1204,1862,692,28,155,376,656,633,706,2554
248,1205,1538,876,91,241,527,699,480,376,2414
249,1206,1393,729,45,272,525,614,437,229,2122
250,1207,1161,750,40,179,346,588,444,314,1911
251,1208,1694,870,68,325,648,673,428,422,2564
252,1209,1265,710,26,141,362,576,410,460,1975
253,1210,1481,581,44,152,340,586,449,491,2062
254,1211,1261,460,12,70,219,335,315,770,1721
255,1212,1198,551,11,131,316,482,397,412,1749
256,1213,1525,603,37,220,422,556,443,450,2128
257,1214,866,404,22,97,209,349,249,344,1270
258,1215,971,392,20,156,292,355,274,266,1363
259,1216,1018,402,26,148,319,335,298,294,1420
260,1217,1583,478,22,187,369,547,438,498,2061
261,1218,1403,582,21,161,366,518,466,453,1985
262,1219,1088,626,24,93,245,411,394,547,1714
263,1220,995,509,14,47,157,273,359,654,1504
264,1221,2580,1240,60,189,510,848,810,1403,3820
265,1222,1096,513,18,57,182,368,384,600,1609
266,1223,1516,687,20,85,219,433,520,926,2203
267,1224,1640,584,14,70,244,488,516,892,2224
268,1225,280,222,12,52,123,156,67,92,502
269,1226,562,301,18,95,197,256,145,152,863
270,1227,341,192,20,61,96,156,111,89,533
291,1301,2912,1947,114,516,893,1302,1027,1007,4859
292,1302,1513,859,32,170,421,596,581,572,2372
293,1303,1235,661,27,174,460,455,409,371,1896
294,1304,970,544,24,100,265,373,318,434,1514
295,1305,1028,390,20,72,197,374,351,404,1418
296,1306,1096,461,33,82,235,421,379,407,1557
297,1307,985,412,8,61,175,370,367,416,1397
298,1308,977,369,11,86,199,367,338,345,1346
299,1309,1201,455,15,61,235,416,381,548,1656
300,1310,819,293,14,60,135,308,260,335,1112
301,1311,764,324,10,31,87,231,257,472,1088
302,1312,813,338,7,61,136,272,293,382,1151
303,1313,1356,697,31,112,331,529,496,554,2053
304,1314,1197,479,18,51,179,390,409,629,1676
305,1315,764,344,5,46,128,242,284,403,1108
306,1316,865,412,13,83,171,296,337,377,1277
307,1317,1038,444,28,125,260,375,328,366,1482
308,1318,723,267,5,54,141,235,237,318,990
309,1319,1017,520,12,111,212,324,353,525,1537
310,1320,726,291,9,34,97,200,278,399,1017
311,1321,800,341,10,49,127,267,295,393,1141
312,1322,548,227,23,118,123,181,157,173,775
313,1323,760,455,13,63,137,224,266,512,1215
314,1324,769,421,8,55,122,222,288,495,1190
315,1325,807,441,16,73,171,275,300,413,1248
316,1326,672,535,25,80,195,330,264,313,1207
317,1327,345,218,6,26,77,129,128,197,563
318,1328,554,527,17,72,153,334,236,269,1081
319,1329,414,357,6,40,105,237,187,196,771
320,1330,864,777,67,118,280,471,372,333,1641
321,1331,543,462,17,74,136,275,241,262,1005
322,1332,554,493,16,44,162,323,279,223,1047
323,1333,672,554,25,87,165,340,298,311,1226
330,1401,2182,1400,94,272,687,915,784,830,3582
331,1402,543,372,20,41,119,201,235,299,915
332,1403,773,364,7,40,163,263,265,399,1137
333,1404,1037,634,19,110,269,398,382,493,1671
334,1405,592,318,12,25,107,180,230,356,910
335,1406,510,250,6,24,67,157,203,303,760
336,1407,516,470,11,25,67,195,250,438,986
337,1408,580,521,11,24,88,186,250,542,1101
338,1409,1496,955,30,170,363,579,582,727,2451
339,1410,688,527,23,84,164,301,283,360,1215
340,1411,368,154,8,58,86,122,123,125,522
341,1412,524,315,29,64,148,234,199,165,839
342,1413,391,253,25,49,117,178,158,117,644
343,1414,342,246,5,33,97,190,122,141,588
344,1415,503,360,17,71,128,244,206,197,863
345,1416,649,268,21,78,164,230,212,212,917
346,1501,1256,869,60,179,406,514,460,506,2125
347,1502,872,451,14,44,107,243,321,594,1323
348,1503,1335,841,14,111,290,457,503,801,2176
349,1504,1152,712,39,199,350,403,403,470,1864
350,1505,1172,738,32,187,441,494,415,341,1910
351,1506,964,511,61,84,184,326,294,526,1475
352,1507,915,657,11,27,154,357,383,640,1572
353,1508,494,529,12,46,127,222,234,382,1023
354,1509,982,578,12,43,151,335,405,614,1560
355,1510,1081,508,17,40,139,291,374,728,1589
356,1511,987,615,35,130,302,477,348,310,1602
357,1512,825,539,29,101,246,406,308,274,1364
358,1513,706,467,27,73,191,340,277,265,1173
324,1601,1517,697,75,237,432,512,392,566,2214
325,1602,738,311,11,89,162,186,188,413,1049
326,1603,698,234,11,63,94,222,181,361,932
327,1604,956,341,37,114,153,213,280,500,1297
328,1605,551,205,15,71,114,131,122,303,756
329,1606,449,215,7,38,103,117,118,281,664
42,1701,1769,1114,83,275,550,764,574,637,2883
43,1702,1887,1197,41,253,601,874,653,662,3084
44,1703,2050,1267,42,293,810,1046,570,556,3317
45,1704,1202,800,17,134,319,496,448,588,2002
46,1705,1284,939,29,161,443,572,483,535,2223
47,1706,1804,1332,54,346,698,848,642,548,3136
48,1707,1269,946,33,212,489,652,435,394,2215
49,1801,3066,2041,111,761,1286,1220,815,914,5107
50,1802,2906,1911,68,654,1177,1118,852,948,4817
51,1803,2248,1126,103,482,882,813,605,489,3374
90,1901,1313,941,37,169,319,504,530,695,2254
91,1902,3633,2538,120,770,1370,1615,1168,1128,6171
92,1903,3529,2876,235,966,1821,1579,1035,769,6405
93,1904,2632,2280,94,493,1099,1265,1010,951,4912
94,1905,3823,3599,310,915,1485,1948,1447,1317,7422
95,1906,3693,2812,237,886,1826,1897,989,670,6505
96,1907,3863,3012,123,904,2227,1968,993,660,6875
97,1908,3263,2587,114,628,1428,1773,1129,778,5850
271,2001,2934,2095,107,450,1064,1380,1009,1019,5029
272,2002,2542,1673,71,411,846,1109,823,955,4215
196,2101,2952,2432,132,520,1274,1440,1057,961,5384
197,2102,2437,1381,58,326,596,1069,893,876,3818
198,2104,2212,1601,63,412,741,905,861,831,3813
199,2106,2659,1457,73,513,802,1213,861,654,4116
200,2107,2374,1947,58,510,1277,1262,699,515,4321
201,2108,2430,1947,66,388,740,1124,886,1173,4377
30,6301,3148,2758,170,660,1109,1392,1252,1323,5906
31,6302,4200,3402,242,934,1246,1795,1617,1768,7602
32,6303,4036,3540,417,959,1313,1604,1528,1755,7576
33,6304,4618,4553,439,1361,1808,2123,1867,1573,9171
34,6305,4054,3243,417,1005,1174,1577,1429,1695,7297
35,6306,3611,3020,189,856,1242,1506,1351,1487,6631
36,6307,4090,3188,164,737,1238,1759,1586,1794,7278
37,6308,3818,3173,326,766,1485,1784,1365,1265,6991
38,6309,4001,2844,136,849,1385,1725,1413,1337,6845
39,6310,3933,3093,202,981,1550,2061,1396,836,7026
40,6311,4394,3253,442,777,1415,1868,1660,1485,7647
41,6312,3805,2675,210,632,1187,1705,1526,1220,6480
233,6401,1462,1095,55,194,381,637,642,648,2557
234,6402,1952,1794,79,485,877,978,716,611,3746
235,6403,2986,2381,109,660,1694,1373,822,709,5367
236,6404,2650,1808,302,733,1046,1086,729,562,4458
237,6405,4542,3420,228,814,1593,2313,1764,1250,7962
238,6406,1751,1471,92,279,475,771,832,773,3222
239,6407,1937,1717,95,341,576,899,781,962,3654
240,6408,2420,1948,71,434,696,1151,1126,890,4368
241,6409,2545,1881,82,463,942,1093,940,906,4426
242,6410,2031,1031,56,304,633,752,683,634,3062
243,6411,2467,1470,99,571,906,1063,785,513,3937
365,7101,818,381,55,114,256,317,211,246,1199
366,7102,241,106,12,24,61,88,92,70,347
367,7103,133,46,9,23,36,39,36,36,179
368,7104,205,64,11,30,76,88,36,28,269
359,7201,489,291,22,83,131,175,144,225,780
360,7202,367,174,8,25,90,114,85,219,541
361,7203,479,242,25,75,141,186,125,169,721
362,7204,745,373,22,76,204,219,191,406,1118
363,7205,249,142,7,15,42,76,69,182,391
364,7206,42,4,8,6,8,6,6,12,46
